,riskrate
0,26.75702550170268
1,20.081771562154184
2,29.327045826989295
3,25.973100401467864
4,27.73951528174208
5,24.15128948315645
6,23.89759161843367
7,27.38012113476163
8,31.443278335628815
9,31.407448881296357
10,22.927719385244792
11,25.555023613712528
12,21.49249599132511
13,27.59615581872769
14,22.801085162327936
15,22.1049929953382
16,23.009397931896412
17,25.719829954477998
18,27.969841250402382
19,22.130618970597606
20,25.86176409988079
21,24.615021440470176
22,25.22482363878528
23,21.491110302694338
24,27.4852125363688
25,23.84130794082515
26,23.37541946909414
27,25.2233411691255
28,30.873610747837333
29,19.249741010717447
30,26.882180665949935
31,29.800299717256085
32,30.3053411648426
33,24.02949143960902
34,22.434955860633952
35,24.710048757279722
36,27.344435204216914
37,25.069720408485534
38,26.343995169107192
39,27.491566482730352
40,24.752670601204695
41,23.503894334157355
42,25.707697289309838
43,29.812534005544954
44,19.50746010015008
45,20.05786810222596
46,24.210211342225726
47,22.635568095930925
48,26.15541465385236
49,23.397989597651925
50,21.369936183970086
