,State,deathcount,SME,retail_recreation,grocery_pharma,parks,transit,workplace,residential,retail,manufacturing,tech,healthcare,riskrate,response
0,Alabama,12158.0,0.47200000000000003,-12.0,-3.0,10.0,-8.0,-20.0,5.0,6.36,14.13,8.84,11.25,0.2675702550170268,4.186236559139787
1,Alaska,132.0,0.53,-10.0,-7.0,11.0,-25.0,-23.0,10.0,5.0,3.11,5.0,12.0,0.20081771562154185,8.596842619745848
2,Arizona,17161.0,0.43700000000000006,-17.0,-11.0,-20.0,-22.0,-34.0,10.0,4.3,7.75,8.07,12.52,0.2932704582698929,5.299726295210167
3,Arkansas,5191.0,0.479,-9.0,-4.0,20.0,-6.0,-22.0,6.0,6.7,13.03,5.2,13.01,0.25973100401467863,4.977878787878787
4,California,54421.0,0.488,-26.0,-11.0,-12.0,-41.0,-39.0,12.0,5.03,8.69,12.63,9.38,0.2773951528174208,11.871388074291302
5,Colorado,6608.0,0.48200000000000004,-20.0,-6.0,-21.0,-36.0,-36.0,13.0,5.02,5.69,13.11,8.73,0.24151289483156446,5.959227761485827
6,Connecticut,13987.0,0.489,-12.0,-5.0,30.0,-27.0,-29.0,9.0,5.37,10.85,9.71,11.52,0.23897591618433672,10.57
7,Delaware,1863.0,0.469,-10.0,-2.0,44.0,-33.0,-30.0,9.0,5.54,5.74,10.22,13.56,0.2738012113476163,6.580948191593351
8,District of Columbia,2576.0,0.47000000000000003,-47.0,-19.0,-38.0,-67.0,-58.0,18.0,1.07,0.0,24.53,5.66,0.3144327833562881,8.637038123167157
9,Florida,51098.0,0.41600000000000004,-21.0,-12.0,-23.0,-36.0,-29.0,8.0,7.22,4.82,10.15,12.39,0.31407448881296357,5.790928641251222
10,Georgia,21865.0,0.43100000000000005,-13.0,-3.0,24.0,-30.0,-28.0,8.0,5.79,8.41,9.78,9.74,0.22927719385244788,11.832658846529815
11,Hawaii,760.0,0.521,-37.0,-24.0,-54.0,-57.0,-35.0,14.0,5.94,1.69,5.61,10.29,0.2555502361371253,14.967409579667644
12,Idaho,1750.0,0.562,-6.0,4.0,60.0,0.0,-23.0,6.0,8.21,11.27,7.5,11.94,0.2149249599132511,3.2613000977517097
13,Illinois,27166.0,0.451,-20.0,-7.0,-11.0,-40.0,-33.0,12.0,4.9,10.62,11.91,10.3,0.27596155818727697,7.574281524926686
14,Indiana,12904.0,0.449,-11.0,-4.0,22.0,-7.0,-23.0,7.0,5.66,19.81,6.01,12.84,0.22801085162327933,5.0832649071358755
15,Iowa,5172.0,0.48100000000000004,-9.0,6.0,31.0,-11.0,-22.0,8.0,5.64,16.09,4.88,10.16,0.22104992995338202,5.633822091886609
16,Kansas,3031.0,0.51,-19.0,-15.0,-8.0,-16.0,-28.0,11.0,5.11,11.83,7.12,10.73,0.23009397931896408,4.4541153470185755
17,Kentucky,4701.0,0.438,-14.0,-1.0,35.0,-6.0,-26.0,7.0,5.93,14.8,5.88,12.85,0.25719829954478,6.58225806451613
18,Louisiana,16734.0,0.528,-10.0,3.0,-11.0,-16.0,-22.0,5.0,6.19,9.66,7.27,12.19,0.2796984125040239,11.873509286412508
19,Maine,485.0,0.5650000000000001,-9.0,4.0,69.0,-3.0,-21.0,6.0,7.56,9.17,7.46,16.02,0.2213061897059761,8.003890518084066
20,Maryland,14174.0,0.501,-16.0,-7.0,57.0,-38.0,-38.0,13.0,4.87,4.33,14.01,10.96,0.2586176409988079,6.011182795698928
21,Massachusetts,25350.0,0.45799999999999996,-20.0,-8.0,21.0,-52.0,-38.0,13.0,4.53,7.42,17.3,12.62,0.24615021440470178,10.166373411534703
22,Michigan,21026.0,0.49100000000000005,-16.0,-8.0,20.0,-26.0,-30.0,10.0,5.83,16.37,10.84,12.29,0.2522482363878528,11.482238514173995
23,Minnesota,7127.0,0.47200000000000003,-14.0,-8.0,6.0,-44.0,-33.0,12.0,5.18,12.08,9.05,13.29,0.21491110302694336,8.135816226783966
24,Mississippi,10138.0,0.469,-10.0,-4.0,11.0,4.0,-18.0,4.0,7.32,13.61,4.45,11.99,0.27485212536368797,8.27852394916911
25,Missouri,8823.0,0.46799999999999997,-16.0,-6.0,-4.0,-20.0,-28.0,9.0,5.84,11.08,9.4,12.69,0.23841307940825146,4.688426197458455
26,Montana,783.0,0.648,-9.0,0.0,24.0,0.0,-21.0,7.0,8.3,4.43,7.05,14.46,0.23375419469094144,6.084125122189637
27,Nebraska,1994.0,0.466,-11.0,-4.0,13.0,5.0,-22.0,8.0,5.34,9.34,6.24,13.43,0.252233411691255,3.9185532746823073
28,Nevada,5289.0,0.418,-14.0,-6.0,-17.0,-29.0,-32.0,9.0,6.7,4.5,6.97,14.64,0.3087361074783733,15.610723362658847
29,New Hampshire,1369.0,0.498,-8.0,2.0,64.0,-15.0,-24.0,9.0,7.81,11.57,10.15,12.52,0.1924974101071745,9.228504398826978
30,New Jersey,46568.0,0.498,-17.0,-2.0,49.0,-40.0,-36.0,12.0,5.99,8.06,12.17,11.38,0.26882180665949934,8.151436950146627
31,New Mexico,2805.0,0.533,-35.0,-22.0,-41.0,-26.0,-52.0,22.0,6.22,3.71,11.17,11.9,0.2980029971725609,8.775464320625613
32,New York,37705.0,0.502,-24.0,-4.0,7.0,-42.0,-34.0,11.0,4.51,3.86,12.01,11.18,0.30305341164842603,12.782355816226785
33,North Carolina,8737.0,0.441,-12.0,-1.0,56.0,-24.0,-28.0,7.0,5.93,10.69,9.12,9.97,0.2402949143960902,6.570948191593354
34,North Dakota,1155.0,0.573,-14.0,-13.0,-8.0,-13.0,-23.0,8.0,5.84,5.83,4.74,12.61,0.22434955860633957,4.251182795698924
35,Ohio,15314.0,0.45799999999999996,-13.0,-3.0,32.0,-14.0,-25.0,7.0,5.62,14.16,7.63,13.06,0.24710048757279723,6.621915933528834
36,Oklahoma,4501.0,0.524,-25.0,-16.0,-32.0,-20.0,-44.0,12.0,5.63,9.46,5.75,10.28,0.27344435204216916,6.1902443792766375
37,Oregon,1867.0,0.55,-15.0,-5.0,46.0,-30.0,-35.0,10.0,6.3,11.31,8.01,12.15,0.2506972040848553,8.050039100684263
38,Pennsylvania,27751.0,0.466,-14.0,-5.0,31.0,-33.0,-30.0,9.0,5.19,10.0,10.11,14.06,0.26343995169107187,9.325043988269792
39,Rhode Island,3465.0,0.528,-13.0,-3.0,86.0,-44.0,-30.0,9.0,6.21,8.1,8.37,13.85,0.2749156648273035,10.15960899315738
40,South Carolina,11526.0,0.46299999999999997,-8.0,-2.0,27.0,-6.0,-23.0,6.0,6.69,13.89,7.81,9.25,0.24752670601204693,6.4302541544477005
41,South Dakota,1178.0,0.588,-7.0,6.0,24.0,1.0,-18.0,7.0,6.88,9.23,4.39,15.29,0.2350389433415736,2.7309384164222874
42,Tennessee,9542.0,0.423,-8.0,-1.0,65.0,-11.0,-23.0,5.0,6.61,11.51,7.72,14.21,0.25707697289309844,5.923499511241447
43,Texas,58428.0,0.451,-20.0,-12.0,-33.0,-30.0,-34.0,12.0,5.38,8.52,9.94,9.01,0.29812534005544955,6.745366568914957
44,Utah,1871.0,0.462,-12.0,-1.0,39.0,-28.0,-29.0,9.0,7.35,9.32,10.3,8.4,0.19507460100150076,3.1264125122189648
45,Vermont,152.0,0.613,-11.0,-4.0,42.0,-29.0,-24.0,9.0,7.11,10.28,8.47,14.89,0.20057868102225962,10.004037145650047
46,Virginia,10990.0,0.47200000000000003,-15.0,-4.0,50.0,-32.0,-34.0,10.0,4.75,5.56,18.04,9.14,0.24210211342225735,6.462179863147607
47,Washington,6488.0,0.514,-18.0,-8.0,36.0,-44.0,-39.0,12.0,8.71,8.74,9.22,9.83,0.22635568095930925,9.210948191593351
48,West Virginia,1070.0,0.49200000000000005,-8.0,0.0,34.0,-1.0,-22.0,5.0,6.42,8.37,6.73,16.28,0.2615541465385236,7.292531769305962
49,Wisconsin,5287.0,0.499,-19.0,-5.0,42.0,-19.0,-28.0,10.0,5.68,17.74,6.22,12.69,0.23397989597651925,5.658005865102638
50,Wyoming,131.0,0.631,-9.0,0.0,11.0,19.0,-16.0,5.0,5.14,0.0,5.03,7.07,0.21369936183970087,3.2991788856304987
